Sign Title,Location
War Memorial,Canon Garland Place
Governor Blackall,Mount Blackall
Edward McGregor,4-16-17/18
Caskey Memorial,4-17-18
'A' Battery Memorial,4-36-1
Ann and Walter Hill,6-21-9
John Burke,7-19-1
Peter Gaffney,7-19-23
Randal MacDonnell,7-20-10
Joseph Darragh,7-27-11
James Thomas Mooney,7-45-10
William Grene Power,7-45-18
Thomas Joseph Byrnes,7-47-5
John Ahern,7-51-4
Kevin Izod O'Doherty,7-58-27
Anne Devoy,7-7-34
William Augustine O'Carroll,7-54-9
Thomas Joseph Ryan,7A-3A-1
John Leahy,7A-4-3
John Melville,9-10-14
Mary Douglas,9-34-5
Robert Cribb,9-37-6
George Prentice,9-41-4
Florence Griffiths Buchanan,11-33-4
Sir Samuel Walker Griffith,12-11-6/7
Sir Charles Lilley,12-15-15
Thomas Macdonald-Paterson,12-53-10
John Donaldson,12-47-13
Pioneer Children,13-10-4
Infant Graves,13-3-12
Charles Patterson,13-30-10
George Rilatt,13-33-12
Bancroft Family,13-35-3
Sir Arthur Rutledge,13-49-15
Petrie Family,13-5-3
Robert Russell Smellie,13-60-5/10
James William Wassell,13-65-10
Trooper John Cobb,13-68-16
John Turner,13-70-8
Raff Bothers,13-79-1/2
Finney and Isles,13-81-5/6
Ken Hutchison,13-82-6
Dorothy Hawthorn,13-83-1/2
Sir Maurice O'Connell,13-83-9/10
Bell Family,13-84-8/9
Sir Arthur Palmer,13-88-7
Thomas Welsby,13-9-1
Sir Anthony Musgrave,14-23-7/15
