Given Names,Last Name,Born,Died,Location
Samuel Wensley,Blackall,1809-05-01,1871-01-02,Mount Blackall
Ann,Hill,1850-04-25,1871-11-01,6-21-9
David John,Garland,1864-10-04,1939-10-11,1-5A-9
Arthur,Rutledge,1843-08-29,1917-02-08,13-49-15
Samuel Walker,Griffith,1845-06-21,1920-08-09,12-11-6/7
John,Donaldson,1841-06-15,1896-07-25,12-47-13
Thomas,Macdonald-Paterson,1844-05-09,1906-03-21,12-53-10
Emma,Miller,1839-06-dd,1917-mm-dd,13-6-5/6
Thomas,Glassey,1844-02-26,1936-09-28,11-22-1
William Henry,Browne,1846-09-13,1904-04-12,11-51-3
John Gordon,Smith,1863-mm-dd,1921-06-21,11-53-5/6
Anderson,Dawson,1863-07-16,1910-07-20,11-56-1
David,Bowman,1860-08-04,1916-02-25,11-76-12/13
William,Forgan Smith,1887-04-15,1953-09-25,8-25-20/21
William Neal,Gillies,1868-10-28,1928-02-09,18-106-20
Edward Michael,Hanlon,1887-10-01,1952-01-15,7A-38-19/21
John,Hoolan,1842-mm-dd,1911-06-15,7A-34-2
Albert Edward Victor,Whitford,1877-mm-dd,1924-01-29,15-6-40
Lilian Violet,Cooper,1861-08-11,1947-08-18,8-69-13/14
Walter,Hill,1819-12-21,1904-02-04,6-21-9
Peter,Jackson,1861-07-03,1901-07-13,5-28-1
Kevin Izod,O'Doherty,1823-mm-dd,1905-mm-dd,7-58-27
Elizabeth,Dale,1865-mm-dd,1905-01-31,1-148-29
William Walter,Brown,1911-11-02,2004-01-31,18-25-47B
Alfred Joseph,Duggan,1864-mm-dd,1884-11-20,7-52-5
Edward,McGregor,yyyy-mm-dd,1939-mm-dd,4-16-17/18
Sidney,Cook,yyyy-mm-dd,1937-03-23,4-35-14
Samuel,Keenan,yyyy-mm-dd,yyyy-mm-dd,2-48-7
Henry William,Mobsby,1860-08-17,1933-04-09,5-61-11
Karoly (Charles),Pulszky,1854-11-10,1899-06-05,5-2-3
Thomas,Macer (Megan),yyyy-mm-dd,1926-mm-dd,21-14-3
Arthur,Aldridge,1873-mm-dd,1929-11-03,23-31-14
Kyrle Edward,McAllister (Sylvaney),yyyy-mm-dd,yyyy-mm-dd,23-31-15
